Abed-El-Karim_Abu-Snina Maccabi_Rehovot
Roni_Edelshtein Meuhedet_Tveria
Kfir_Eizler Rambam_Haifa
Tair_Alon Rambam_Haifa
Michael_Beilin Meuhedet_Rosh-Ha'ayin
Gadi_Ben-Ari Maccabi_Ganei-Tikva
Menahem_Ben-Shachar Legalil_Nahariya
Kobi_Bar-Ilan Maccabi_Hertzliya
Steven_Berger Maccabi_Givataim
Silvio_Brill Ichilov_Tel-Aviv
Hadasa_Goldberg Schneider_Petach-Tikva
Omer_Goldstein Bnei-Zion_Haifa
Emilia_Gulko Maccabi_Kfar-Yona
Itai_Gur-Arie Tel-Hashomer_Ramat-Gan
Yaakov_Gurevitch Leumit_Karmiel
Gil_Gilad Schneider_Petach-Tikva
Dina_Ganopolsky Maccabi_Rishon-Letzion
Hadas_Gantz-Sorotzky Hadasa-Ein-Karem_Jerusalem
Yonatan_Greenfield Assaf-HaRofeh_Be'er-Yaakov
Shoshana_David Maccabi_Kefar-Saba
Ziva_Davidovitch Clalit_Netanya
On_Dolberg Clalit_Kefar-Saba
Eyal_Hirsch Bnei-Zion_Haifa
Jackie_Hertzlich Meuhedet_Bnei-Berak
Moriel_Weber Maccabi_Ra'anana
Shimon_Wine Beilinson_Petach-Tikva
Rachel_Zlobinsky Meuhedet_Haifa
Joslin_Zamir Maccabi_Afula
Petra_Zakhaim Rambam_Haifa
Moshe_Zer-Tzion Assuta_Tel-Aviv
Claude_Hatav Meuhedet_Jerusalem
Raphael_Heruti Reut_Tel-Aviv
Vered_Hermosh Laniado_Netanya
Tamar_Yashar Leumit_Tel-Aviv
Keren_Cohen Sha'arei-Tzedek_Jerusalem
Rena_Cohen Maccabi_Rosh-Ha'ayin
Norman_Cohen Maccabi_Ra'anana
Sraya_Cahanovitz Meuhedet_Hertzliya
Ofer_Caspi Beilinson_Petach-Tikva
Natalie_Katz Ma'ale-HaCarmel_Tirat-HaCarmel
